	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('GSK2126458 1082', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	1570.3333	6891.5	0.22877	0.3072
('GSK2126458 1083', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	614.3333	6891.5	0.089602	0.0051516
('GSK2126458 1084', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	140.3333	6891.5	0.020291	-0.33458
('GSK2126458 1085', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	112.0	6891.5	0.016232	-0.37456
('GSK2126458 1086', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	44.3333	6891.5	0.0064671	-0.5238
('GSK2126458 1087', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	48.0	6891.5	0.0069968	-0.50924
('GSK2126458 1088', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	199.3333	6891.5	0.028919	-0.26662
('Methotrexate 1089', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	1250.0	585.7083	7217.3333	6891.5	1.0469	1.0227
('Methotrexate 1090', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	7741.0	6891.5	1.1221	1.0637
('Methotrexate 1091', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	7095.3333	6891.5	1.0317	1.0148
('Methotrexate 1092', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	6231.0	6891.5	0.90635	0.94157
('Methotrexate 1093', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	1100.3333	6891.5	0.15948	0.19252
('Methotrexate 1094', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	915.3333	6891.5	0.13287	0.13164
('Methotrexate 1095', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	1002.3333	6891.5	0.14559	0.16071
('Methotrexate 1096', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	1008.3333	6891.5	0.14642	0.16471
('Methotrexate 1097', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	1181.3333	6891.5	0.17177	0.21703
('Taxol 1098', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00016596', 'replicate: 2')	1250.0	585.7083	6518.6667	6891.5	0.94545	0.96813
('Taxol 1099', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00033113', 'replicate: 2')	1250.0	585.7083	6654.0	6891.5	0.96746	0.97915
('Taxol 1100', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.001', 'replicate: 2')	1250.0	585.7083	4949.3333	6891.5	0.71985	0.8201
('Taxol 1101', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0031623', 'replicate: 2')	1250.0	585.7083	2133.6667	6891.5	0.3111	0.42177
('Taxol 1102', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	516.6667	6891.5	0.074989	-0.036666
('Taxol 1103', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	470.0	6891.5	0.068354	-0.061377
('Taxol 1104', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	412.0	6891.5	0.059742	-0.094888
('Taxol 1105', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	442.3333	6891.5	0.064163	-0.076109
('Taxol 1106', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	531.6667	6891.5	0.077304	-0.027725
('Etoposide 1107', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	6879.3333	7602.3333	0.90272	0.94341
('Etoposide 1108', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	7863.3333	7602.3333	1.0357	1.0187
('Etoposide 1109', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	5983.0	7602.3333	0.78784	0.87449
('Etoposide 1110', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	5601.3333	7602.3333	0.73671	0.83975
('Etoposide 1111', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	1678.0	7602.3333	0.22219	0.32813
('Etoposide 1112', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	639.0	7602.3333	0.08348	0.018415
('Etoposide 1113', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	419.0	7602.3333	0.055152	-0.087686
('Etoposide 1114', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	421.6667	7602.3333	0.055536	-0.086973
('Etoposide 1115', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	1250.0	585.7083	322.3333	7602.3333	0.042545	-0.15092
('Nilotinib 1116', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	7601.6667	7602.3333	1.0033	1.0003
('Nilotinib 1117', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	7526.6667	7602.3333	0.99054	0.99413
('Nilotinib 1118', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	8156.3333	7602.3333	1.0724	1.0372
('Nilotinib 1119', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	8305.3333	7602.3333	1.0948	1.0492
('Nilotinib 1120', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	7991.3333	7602.3333	1.0537	1.0283
('Nilotinib 1121', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	8508.3333	7602.3333	1.1186	1.0609
('Nilotinib 1122', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	8094.6667	7602.3333	1.062	1.0314
('Nilotinib 1123', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	2849.6667	7602.3333	0.3686	0.49672
('Nilotinib 1124', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	1250.0	585.7083	662.0	7602.3333	0.087283	0.033197
('PLX-4720 1125', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	7358.3333	7602.3333	0.96771	0.98225
('PLX-4720 1126', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	7313.6667	7602.3333	0.96262	0.97707
('PLX-4720 1127', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	7051.0	7602.3333	0.93113	0.96061
('PLX-4720 1128', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	7687.6667	7602.3333	1.0138	1.0044
('PLX-4720 1129', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	8163.3333	7602.3333	1.0758	1.0395
('PLX-4720 1130', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	8198.6667	7602.3333	1.0802	1.0416
('PLX-4720 1131', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	8593.0	7602.3333	1.1319	1.0678
('PLX-4720 1132', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	7114.6667	7602.3333	0.93733	0.96514
('PLX-4720 1133', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	1250.0	585.7083	3460.0	7602.3333	0.45643	0.61569
('NVP-TAE684 1134', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	1250.0	585.7083	6995.3333	7602.3333	0.91862	0.95368
('NVP-TAE684 1135', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	8051.0	7602.3333	1.0613	1.0322
('NVP-TAE684 1136', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	7673.0	7602.3333	1.0082	1.0035
('NVP-TAE684 1137', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	6898.3333	7602.3333	0.90835	0.94438
('NVP-TAE684 1138', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	5945.0	7602.3333	0.7796	0.86796
('NVP-TAE684 1139', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	4503.6667	7602.3333	0.59107	0.73379
('NVP-TAE684 1140', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	1745.3333	7602.3333	0.23191	0.31718
('NVP-TAE684 1141', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	812.3333	7602.3333	0.10754	0.088806
('NVP-TAE684 1142', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	327.6667	7602.3333	0.043237	-0.14545
('Palbociclib 1143', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	7172.3333	6891.5	1.042	1.0216
('Palbociclib 1144', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	1250.0	585.7083	6397.6667	6891.5	0.9283	0.95858
('Palbociclib 1145', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	1250.0	585.7083	6050.0	6891.5	0.87569	0.92187
('Palbociclib 1146', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	1250.0	585.7083	5001.0	6891.5	0.72951	0.81304
('Palbociclib 1147', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	1250.0	585.7083	2899.0	6891.5	0.42136	0.55782
('Palbociclib 1148', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	1250.0	585.7083	1697.0	6891.5	0.24804	0.32688
('Palbociclib 1149', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	1250.0	585.7083	1373.3333	6891.5	0.19937	0.26709
('Palbociclib 1150', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	1250.0	585.7083	846.3333	6891.5	0.12304	0.10826
('Palbociclib 1151', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	1250.0	585.7083	676.0	6891.5	0.098429	0.028022
('GSK2126458 1152', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	2500.0	1446.4167	4470.3333	7161.0	0.62772	0.63157
('GSK2126458 1153', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	2500.0	1446.4167	3606.0	7161.0	0.50634	0.48119
('GSK2126458 1154', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	2500.0	1446.4167	1612.6667	7161.0	0.22295	0.034042
('GSK2126458 1155', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	2500.0	1446.4167	706.6667	7161.0	0.097506	-0.28046
('GSK2126458 1156', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	2500.0	1446.4167	230.3333	7161.0	0.031972	-0.55643
('GSK2126458 1157', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	2500.0	1446.4167	135.3333	7161.0	0.018715	-0.64567
('GSK2126458 1158', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	2500.0	1446.4167	109.6667	7161.0	0.015307	-0.67413
('GSK2126458 1159', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	2500.0	1446.4167	119.3333	7161.0	0.016645	-0.66163
('GSK2126458 1160', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	2500.0	1446.4167	503.3333	7161.0	0.070809	-0.36891
('Methotrexate 1161', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	2500.0	1446.4167	6705.0	7161.0	0.94001	0.94476
('Methotrexate 1162', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	2500.0	1446.4167	6017.6667	7161.0	0.83767	0.84683
('Methotrexate 1163', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	2500.0	1446.4167	7241.6667	7161.0	1.0103	1.0043
('Methotrexate 1164', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	2500.0	1446.4167	6350.3333	7161.0	0.88854	0.89715
('Methotrexate 1165', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	2500.0	1446.4167	1272.3333	7161.0	0.17669	-0.059741
('Methotrexate 1166', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	2500.0	1446.4167	1275.6667	7161.0	0.17789	-0.05441
('Methotrexate 1167', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	2500.0	1446.4167	1211.3333	7161.0	0.16868	-0.07648
('Methotrexate 1168', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	2500.0	1446.4167	1077.0	7161.0	0.14984	-0.12318
('Methotrexate 1169', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	2500.0	1446.4167	1303.6667	7161.0	0.1825	-0.043912
('Taxol 1170', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00016596', 'replicate: 2')	2500.0	1446.4167	7198.3333	7161.0	1.004	1.0012
('Taxol 1171', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00033113', 'replicate: 2')	2500.0	1446.4167	7344.6667	7161.0	1.0278	1.0234
('Taxol 1172', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.001', 'replicate: 2')	2500.0	1446.4167	6510.3333	7161.0	0.91047	0.92009
('Taxol 1173', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0031623', 'replicate: 2')	2500.0	1446.4167	3694.0	7161.0	0.51439	0.49561
('Taxol 1174', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	2500.0	1446.4167	1105.0	7161.0	0.15499	-0.11084
('Taxol 1175', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	2500.0	1446.4167	1024.3333	7161.0	0.14229	-0.14378
('Taxol 1176', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	2500.0	1446.4167	805.3333	7161.0	0.11264	-0.22433
('Taxol 1177', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	2500.0	1446.4167	941.3333	7161.0	0.13193	-0.17083
('Taxol 1178', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	2500.0	1446.4167	879.6667	7161.0	0.12268	-0.19545
('Etoposide 1179', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	2500.0	1446.4167	7857.6667	7615.0	1.0336	1.0237
('Etoposide 1180', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	2500.0	1446.4167	7694.6667	7615.0	1.0117	1.0069
('Etoposide 1181', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	2500.0	1446.4167	7064.3333	7615.0	0.92824	0.93876
('Etoposide 1182', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	2500.0	1446.4167	5729.6667	7615.0	0.7532	0.77626
('Etoposide 1183', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	2500.0	1446.4167	2589.0	7615.0	0.33988	0.27459
('Etoposide 1184', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	2500.0	1446.4167	1170.0	7615.0	0.15325	-0.08865
('Etoposide 1185', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	2500.0	1446.4167	975.3333	7615.0	0.12789	-0.15329
