	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('GSK2126458 755', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-4.4776	0.9389	-7.0436	-6.6504	-7.5424	0.86425	0.26065	0.2826	5.9711
('GSK2126458 756', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-4.4776	0.96475	-7.7576	-7.5276	-7.7975	1.2645	0.24115	0.24128	5.1165
('GSK2126458 757', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-4.4776	0.9844	-7.2646	-7.192	-7.5727	0.6333	0.05043	0.066461	4.7285
('GSK2126458 758', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-4.4776	0.9796	-7.3266	-6.9723	-7.5849	0.6869	0.2146	0.22317	5.4591
('GSK2126458 759', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-4.4776	0.95065	-7.8256	-7.7807	-8.1463	1.1974	0.045	0.046606	3.8101
('GSK2126458 760', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC202', 'clCenterSpecificID: 50214')	-4.4776	0.9925	-8.0786	-8.0068	-8.9423	0.9984	0.07576	0.075995	3.7918
('GSK2126458 761', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC38', 'clCenterSpecificID: 50216')	-4.4776	0.9805	-7.1526	-7.0798	-7.6187	0.937	0.05493	0.059508	4.8099
('GSK2126458 762', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC70', 'clCenterSpecificID: 50219')	-4.4776	0.9751	-7.5826	-7.5358	-8.1178	0.8673	0.04444	0.046374	4.2358
('GSK2126458 763', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-4.4776	0.9865	-7.1286	-6.9171	-7.1638	0.7774	0.1579	0.16515	6.6007
('GSK2126458 764', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MB 157', 'clCenterSpecificID: 50324')									
('GSK2126458 765', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-4.4776	0.98845	-7.2176	-7.2177	-7.9713	0.7442	1.6e-13	0.0092107	4.4619
('GSK2126458 766', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-4.4776	0.95485	-6.0816	-5.4106	-6.5395	0.64435	0.29795	0.38499	6.9857
('GSK2126458 767', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-4.4776	0.9651	-7.4526	-7.2379	-8.298	0.6747	0.1421	0.15045	4.9106
('GSK2126458 768', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-4.4776	0.985	-7.9296	-7.9292	-8.7448	0.8961	3.79e-12	0.0011687	3.5825
('GSK2126458 769', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-4.4776	0.9036	-6.8166	-4.4776	-6.3941	2.013	0.6115	0.61151	7.4655
('GSK2126458 770', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-4.4776	0.94375	-7.6551	-7.6413	-8.4034	0.5528	0.010245	0.033234	3.992
('GSK2126458 771', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-4.4776	0.9771	-7.1516	-7.0505	-7.5021	0.5801	0.06332	0.088918	4.937
('GSK2126458 772', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: T47D', 'clCenterSpecificID: 50541')	-4.4776	0.9689	-8.1006	-7.7796	-8.4455	0.8613	0.2355	0.23608	4.7349
('GSK2126458 773', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-4.4776	0.96265	-7.8116	-7.4222	-8.4852	0.7176	0.2361	0.23935	4.9312
('GSK2126458 774', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-4.4776	0.9805	-7.5856	-7.5235	-8.0451	1.035	0.08083	0.080961	4.384
('GSK2126458 775', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-4.4776	0.9752	-7.6386	-7.4713	-8.0848	0.9233	0.14785	0.14956	4.7729
('GSK2126458 776', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: 184B5', 'clCenterSpecificID: 50576')	-4.4776	0.9563	-7.9406	-7.6231	-8.245	0.7444	0.2099	0.21198	4.747
('GSK2126458 777', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-4.4776	0.9588	-7.7646	-7.5385	-8.2829	0.588	0.08525	0.11122	4.4995
('GSK2126458 778', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-4.4776	0.9921	-8.0456	-8.0015	-8.1389	0.6359	0.03105	0.036241	3.5848
('GSK2126458 779', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-4.4776	0.9586	-8.2176	-8.0168	-8.6572	0.7082	0.1396	0.14153	4.0322
('GSK2126458 780', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-4.4776	0.9321	-7.1106	-6.5244	-7.9823	0.4475	0.2268	0.27488	5.7439
('GSK2126458 781', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-4.4776	0.9846	-7.2716	-7.2716	-7.6596	0.4629	1.18e-16	0.048429	4.4545
('GSK2126458 782', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-4.4776	0.9837	-7.9746	-7.89	-7.9744	1.158	0.1009	0.10098	4.0939
('GSK2126458 783', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM185PE', 'clCenterSpecificID: 51084')									
('GSK2126458 784', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-4.4776	0.9049	-8.0816	-7.746	-8.7709	0.5508	0.1734	0.18187	4.3953
('GSK2126458 785', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-4.4776	0.9932	-7.8936	-7.7839	-8.5529	0.6262	0.07328	0.079957	4.0235
('GSK2126458 786', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-4.4776	0.9584	-8.2596	-7.9596	-8.4853	0.9704	0.2445	0.24466	4.5054
('GSK2126458 787', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: 184A1', 'clCenterSpecificID: 51088')	-4.4776	0.9136	-8.6666	-8.1611	-8.7804	0.9289	0.3302	0.33029	4.7168
('GSK2126458 788', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-4.4776	0.9856	-7.9446	-7.8784	-8.1272	0.6569	0.04783	0.052828	3.8131
('GSK2126458 789', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MX1', 'clCenterSpecificID: 51090')	-4.4776	0.9651	-7.2576	-7.2341	-8.2892	0.6783	0.01776	0.030383	4.6065
('GSK2126458 790', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-4.4776	0.973	-7.5476	-7.1373	-7.7474	0.9674	0.294	0.29478	5.5429
('GSK2126458 791', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-4.4776	0.9879	-7.1356	-6.9475	-8.1703	0.6088	0.1159	0.1367	5.1628
('GSK2126458 792', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC2185', 'clCenterSpecificID: 51093')									
('GSK2126458 793', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-4.4776	0.9829	-6.9126	-6.4743	-7.3853	0.6713	0.2084	0.22542	5.868
('GSK2126458 794', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: LY2', 'clCenterSpecificID: 51095')	-4.4776	0.9684	-7.7116	-7.6721	-7.9504	1.352	0.05766	0.0577	4.3944
('GSK2126458 795', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-4.4776	0.9866	-8.1786	-7.9344	-8.3356	0.8804	0.1953	0.19574	4.3371
('GSK1059615 796', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF7', 'clCenterSpecificID: 50029')	-3.8761	0.93645	-5.5426	-4.6506	-5.6069	1.2545	0.39395	0.40042	7.3132
('GSK1059615 797', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-3.8761	0.95505	-6.5481	-6.3382	-6.789	1.5535	0.26235	0.26243	5.8849
('GSK1059615 798', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-3.8761	0.9637	-5.3991	-5.2956	-5.4363	1.385	0.1197	0.12599	6.7138
('GSK1059615 799', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: AU565', 'clCenterSpecificID: 50091')	-3.8761	0.9917	-6.1631	-6.1131	-6.3731	1.803	0.09358	0.093648	5.5245
('GSK1059615 800', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-20', 'clCenterSpecificID: 50105')									
('GSK1059615 801', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-474', 'clCenterSpecificID: 50106')	-3.8761	0.9798	-6.2251	-6.0257	-6.7962	0.7758	0.1499	0.1625	5.7058
('GSK1059615 802', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-483', 'clCenterSpecificID: 50107')	-3.8761	0.9638	-6.0801	-5.6847	-6.8353	0.7491	0.247	0.26346	6.3311
('GSK1059615 803', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-549', 'clCenterSpecificID: 50108')	-3.8761	0.9806	-5.6641	-5.6536	-5.7899	0.9404	0.01183	0.030554	5.8174
('GSK1059615 804', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-3.8761	0.973	-5.5201	-5.3972	-5.8029	1.119	0.1362	0.1485	6.5521
('GSK1059615 805', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-3.8761	0.9594	-5.9431	-5.808	-6.2536	1.29	0.1654	0.16719	6.3813
('GSK1059615 806', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-3.8761	0.9637	-5.2131	-5.1952	-5.6662	1.068	0.05827	0.092173	6.7219
('GSK1059615 807', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-3.8761	0.9333	-5.9671	-5.7072	-6.6644	1.426	0.2758	0.27703	6.4366
('GSK1059615 808', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-3.8761	0.98105	-5.6961	-5.6863	-6.2551	1.0073	0.010885	0.025783	6.0014
('GSK1059615 809', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-3.8761	0.9564	-5.8856	-5.7588	-5.955	1.8415	0.20555	0.20583	6.4466
('GSK1059615 810', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-3.8761	0.9693	-5.5871	-5.5872	-5.8567	0.7958	1.71e-16	0.041671	5.9921
('GSK1059615 811', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-3.8761	0.9685	-5.8166	-5.6857	-6.1338	1.0427	0.091365	0.10927	6.1835
('GSK1059615 812', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-3.8761	0.9806	-6.4821	-6.4688	-6.6416	1.728	0.02085	0.02092	4.936
('GSK1059615 813', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC202', 'clCenterSpecificID: 50214')	-3.8761	0.964	-6.5396	-6.3348	-7.0861	1.2425	0.2168	0.2172	5.4872
('GSK1059615 814', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC38', 'clCenterSpecificID: 50216')	-3.8761	0.9259	-5.8441	-5.7804	-6.0941	1.617	0.1049	0.10517	6.1396
('GSK1059615 815', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC70', 'clCenterSpecificID: 50219')	-3.8761	0.986	-6.1671	-6.1571	-6.7682	1.047	0.00964	0.017969	5.3747
('GSK1059615 816', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-3.8761	0.9639	-5.5771	-5.5431	-5.7678	1.241	0.02612	0.040552	6.2605
('GSK1059615 817', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MB 157', 'clCenterSpecificID: 50324')	-3.8761	0.9303	-5.3471	-5.1653	-6.1416	0.9344	0.1621	0.19602	6.777
('GSK1059615 818', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-3.8761	0.9728	-5.7421	-5.7232	-6.2573	1.681	0.007508	0.014664	5.8201
('GSK1059615 819', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')									
('GSK1059615 820', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-3.8761	0.9661	-5.7096	-5.6435	-6.2973	1.1415	0.08273	0.090813	6.0761
('GSK1059615 821', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-3.8761	0.9495	-5.4711	-5.352	-5.9326	0.9915	0.09843	0.10963	6.6257
('GSK1059615 822', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-3.8761	0.82345	-6.1261	-5.7066	-6.5611	1.0757	0.29175	0.31266	6.4231
('GSK1059615 823', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-3.8761	0.9721	-6.2611	-6.1978	-6.5344	1.4305	0.09399	0.094422	5.4412
('GSK1059615 824', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-3.8761	0.885	-6.0401	-6.0191	-6.1832	3.998	0.08944	0.08944	6.0591
('GSK1059615 825', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: T47D', 'clCenterSpecificID: 50541')	-3.8761	0.9767	-6.1936	-6.0514	-6.9077	0.7031	0.10314	0.12696	5.5762
('GSK1059615 826', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-3.8761	0.9593	-5.9671	-5.8291	-6.4559	1.3025	0.1687	0.17027	6.2995
('GSK1059615 827', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-3.8761	0.9457	-6.4781	-6.4285	-6.9731	1.51	0.0723	0.07268	5.25
('GSK1059615 828', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-3.8761	0.9687	-5.6631	-5.5259	-5.9889	1.026	0.1305	0.15305	6.5481
('GSK1059615 829', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: 184B5', 'clCenterSpecificID: 50576')									
('GSK1059615 830', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-3.8761	0.9667	-5.8266	-5.8267	-6.7042	0.79075	1.83e-16	0.028286	5.6757
('GSK1059615 831', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-3.8761	0.98975	-6.4736	-6.4606	-6.6011	1.127	0.02132	0.02281	4.9008
('GSK1059615 832', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-3.8761	0.97575	-6.5361	-6.4562	-6.7332	0.9002	0.07563	0.079444	5.1553
('GSK1059615 833', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-3.8761	0.9604	-5.9386	-5.8331	-6.4593	1.146	0.12205	0.12698	5.9782
('GSK1059615 834', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-3.8761	0.9712	-5.9691	-5.9579	-6.0461	2.585	0.03641	0.037844	5.662
('GSK1059615 835', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-3.8761	0.9804	-6.6931	-6.6443	-6.749	1.479	0.0657	0.065864	4.7272
('GSK1059615 836', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-3.8761	0.9628	-6.3681	-6.2921	-7.0653	0.7818	0.06376	0.074195	5.3114
('GSK1059615 837', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')									
('GSK1059615 838', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-3.8761	0.9551	-5.9816	-5.9458	-6.2709	1.339	0.05054	0.0549	5.6768
('GSK1059615 839', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-3.8761	0.931	-6.6981	-6.546	-6.7975	1.489	0.2331	0.23311	5.7665
('GSK1059615 840', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: 184A1', 'clCenterSpecificID: 51088')	-3.8761	0.961	-7.3446	-6.9876	-7.7542	1.109	0.2956	0.29573	5.16
('GSK1059615 841', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-3.8761	0.958	-5.9441	-5.9254	-6.3645	1.0795	0.02375	0.032437	5.6533
('GSK1059615 842', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: MX1', 'clCenterSpecificID: 51090')									
('GSK1059615 843', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')									
('GSK1059615 844', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-3.8761	0.9156	-6.1581	-5.6704	-6.3063	1.243	0.2979	0.30788	6.3566
('GSK1059615 845', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-3.8761	0.96275	-5.9776	-5.8904	-6.8382	0.92435	0.099805	0.11122	5.8856
