	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('555884 229', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.88275	0.082309		0.3471	inf	0.88275	0.0	inf	0.71651	0.25297		0.2619	inf	0.71651	0.0
('555885 230', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	inf	0.67483	0.1697		0.9133	0.1706	0.67972	0.53657	4.014	0.39836	0.31108		0.9139	0.1752	0.40979	0.54686
('555886 231', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	92.1358	0.5523	0.20566		0.9163	4.5118	0.3199	0.33849	2.8536	0.26913	0.32642		0.9122	7.6583	-0.19381	0.33184
('555887 232', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	inf	0.59339	0.20279		0.936	2.6466	0.40273	0.32088	2.8259	0.31722	0.33426		0.9365	3.4512	-0.03295	0.31927
('555888 233', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	inf	0.63786	0.17927		0.9818	0.8121	0.55647	0.4214	inf	0.61774	0.18156		0.9815	1.2029	0.51424	0.41534
('555889 234', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	1.05	-0.045609		-19.73	inf	1.05	0.0	inf	1.05	-0.047428		-61.3317	inf	1.05	0.0
('555890 235', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	1.05	-0.026955		-0.3137	inf	1.05	0.0	inf	1.05	0.0029822		0.1293	inf	1.05	0.0
('555891 236', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	inf	1.05	-0.038404		-6.3636	inf	1.05	0.0	inf	1.05	-0.042546		-9.2043	inf	1.05	0.0
('555892 237', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	inf	0.70306	-0.013931		0.8645	9.8365	0.6943	5.0	inf	0.52357	0.0030535		0.9396	9.8937	0.50925	5.0
('555893 238', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	inf	0.53631	0.030194		0.9681	6.9415	0.53161	5.0	7.89	0.22907	0.065373		0.9839	7.0175	0.2217	5.0
('555894 239', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	inf	0.53924	0.046197		0.9848	5.8713	0.53805	4.8101	28.5495	0.50129	0.052378		0.9888	6.0632	0.49971	4.8047
('555895 240', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	0.99931	-0.014813		-0.2152	inf	0.99931	0.0	inf	1.0097	-0.013481		-0.128	inf	1.0097	0.0
('555896 241', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.801	0.091738		0.7207	0.0055	0.819	4.992	0.0069	0.33149	0.36128		0.7502	0.0052	0.3804	4.9992
('555897 242', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	inf	0.60787	0.27487		0.9688	0.0027	0.5922	5.0	0.0031	0.26861	0.51842		0.9767	0.0027	0.2398	5.0
('555898 243', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	0.0065	0.4676	0.3304		0.9912	0.0032	0.48553	5.0	0.0035	0.1162	0.548		0.9953	0.0033	0.14932	5.0
('555899 244', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	0.0138	0.49195	0.32892		0.9886	0.0036	0.49703	3.8166	0.004	0.1336	0.55926		0.9925	0.0037	0.14341	3.9384
('555900 245', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	inf	0.5452	0.27564		0.9972	0.004	0.55537	4.9996	inf	0.50211	0.29917		0.9975	0.0041	0.51549	5.0
('555901 246', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	0.77058	0.053152		0.1823	inf	0.77058	0.0	inf	0.6617	0.095757		0.3323	inf	0.6617	0.0
('555902 247', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.59954	0.18733		0.7738	0.1729	0.60317	0.48636	0.0557	-0.24403	0.61867		0.7787	0.1002	-0.18601	0.53879
('555903 248', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	0.7576	0.40793	0.40481		0.9707	0.0167	0.37918	0.37238	0.0084	-0.11782	0.75556		0.9709	0.0199	-0.18471	0.36482
('555904 249', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	0.0443	0.34625	0.47906		0.9779	0.0068	0.39588	0.8354	0.0074	-0.11301	0.79464		0.9748	0.0077	-0.018237	0.82968
('555905 250', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	0.0756	0.3998	0.46658		0.9861	0.006	0.40806	0.66924	0.0064	-0.039801	0.79602		0.986	0.0069	-0.024431	0.66458
('555906 251', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	0.3986	0.45628	0.41931		0.9901	0.006	0.47785	0.74301	0.0835	0.38185	0.45969		0.9876	0.0079	0.40993	0.72658
('555907 252', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	0.87916	0.021255		0.443	inf	0.87916	0.0	inf	0.85172	0.028756		0.4507	inf	0.85172	0.0
('555908 253', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.70703	0.1069		0.7514	0.7264	0.73099	5.0	0.9345	0.30721	0.28731		0.7271	0.7287	0.3559	5.0
('555909 254', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	inf	0.54532	0.20112		0.9557	0.3004	0.58475	4.9999	0.4141	0.18281	0.36305		0.9592	0.3201	0.24469	2.6109
('555910 255', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	inf	0.44934	0.23041		0.963	0.2907	0.50605	2.2249	0.3976	0.077888	0.38452		0.9678	0.3185	0.1674	1.8392
('555911 256', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	0.8367	0.44576	0.25264		0.9816	0.2491	0.49689	4.1938	0.2767	0.063488	0.42259		0.9823	0.2518	0.15694	3.9888
('555912 257', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	inf	0.49992	0.26036		0.9925	0.1967	0.51673	2.8746	0.5778	0.44927	0.2799		0.992	0.2086	0.47133	2.8061
('555913 258', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	0.99849	-0.013873		-0.1029	inf	0.99849	0.0	inf	1.0031	-0.0031356		-0.0125	inf	1.0031	0.0
('555914 259', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.91378	-0.024793		-0.4512	inf	0.91378	0.0	inf	0.65621	0.0021142		0.2864	inf	0.65621	0.0
('555915 260', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	inf	0.95481	-0.026165		-0.7227	inf	0.95481	0.0	inf	0.92419	-0.019827		-0.2672	inf	0.92419	0.0
('555916 261', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	inf	0.79536	0.071234		0.8616	0.0964	0.84631	5.0	inf	0.67654	0.11624		0.8831	0.0973	0.75983	5.0
('555917 262', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	inf	0.65247	0.19344		0.9915	0.0596	0.66026	2.8829	0.123	0.421	0.3224		0.9931	0.0605	0.43447	2.8603
('555918 263', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	inf	0.57846	0.2269		0.9971	0.0876	0.59147	4.9997	inf	0.54534	0.24131		0.9969	0.09	0.56148	4.9863
('555919 264', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	156.25	inf	0.67054	0.071338		0.6093	1.7915	0.71639	4.9556	inf	0.54635	0.11161		0.5573	1.7454	0.61462	4.967
('555920 265', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	312.5	11.5149	0.48452	0.15465		0.8893	11.5004	0.00029232	0.46544	0.4776	-0.35557	0.40923		0.9319	3.7315	-1.0	0.53442
('555921 266', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	625.0	inf	0.54452	0.17419		0.8773	0.2925	0.56709	0.60115	0.3877	0.022732	0.38257		0.9017	0.3617	0.018777	0.54952
('555922 267', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	1250.0	6.4508	0.4748	0.32318		0.9178	0.0375	0.48744	0.7156	0.0419	0.0011239	0.61203		0.917	0.0394	0.021012	0.70831
('555923 268', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	2500.0	inf	0.51057	0.29496		0.9765	0.0308	0.55188	1.3185	0.0363	0.016102	0.59385		0.9771	0.0306	0.098721	1.3036
('555924 269', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	5000.0	inf	0.62075	0.23831		0.9897	0.0335	0.63241	0.99155	inf	0.51968	0.29658		0.9896	0.0365	0.53584	0.99824
('555925 270', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	156.25	inf	0.80342	0.0087841		0.366	inf	0.80342	0.0	inf	0.73332	0.022219		0.428	inf	0.73332	0.0
('555926 271', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	312.5	inf	0.67409	0.096007		0.5634	0.1836	0.8258	4.9989	0.4648	0.12796	0.2933		0.5936	0.1724	0.49649	5.0
('555927 272', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	625.0	inf	0.64873	0.080133		0.9382	1.9708	0.66929	1.7897	3.1402	0.23741	0.1933		0.962	1.937	0.27619	1.6638
('555928 273', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	1250.0	14.6718	0.4858	0.10813		0.9774	4.2815	0.39897	1.2985	3.6118	0.024435	0.21106		0.9839	4.4969	-0.15908	1.2603
('555929 274', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	2500.0	inf	0.55072	0.073474		0.9891	3.7065	0.55092	4.9204	3.8689	0.097011	0.15387		0.992	3.7009	0.097359	4.8775
('555930 275', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	5000.0	inf	0.60031	0.064998		0.984	5.728	0.59765	4.1212	14.3196	0.49089	0.082271		0.9847	5.8686	0.48722	4.1109
('555931 276', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	156.25	inf	0.89127	-0.020009		-0.1011	inf	0.89127	0.0	inf	0.85263	-0.014793		0.0567	inf	0.85263	0.0
('555932 277', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	312.5	inf	0.71195	-0.009786		0.88	15.021	0.64303	4.99	15.1693	0.17399	0.029742		0.9668	15.4998	-0.056902	5.0
('555933 278', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	625.0	inf	0.66234	0.0027874		0.9092	11.4712	0.61382	3.4884	12.5173	0.26841	0.038267		0.9772	11.0022	0.20028	3.9664
('555934 279', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	1250.0	48.893	0.63833	0.068168		0.8447	48.893	1.3471e-07	0.78189	13.3297	0.3168	0.13175		0.8508	56.1749	-1.0	0.76373
('555935 280', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	2500.0	inf	0.68947	0.065833		0.9144	1.8874	0.70901	1.1899	8.3742	0.37427	0.14064		0.9348	1.999	0.40103	1.1308
('555936 281', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	5000.0	inf	0.76332	0.068646		0.9732	3.3662	0.71129	0.69765	inf	0.71083	0.082591		0.9744	4.5037	0.62287	0.65669
('555937 282', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	156.25	inf	0.6507	0.25867		0.604	0.0041	0.71067	1.6711	inf	0.51368	0.36017		0.6048	0.0043	0.59278	1.4944
('555938 283', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	312.5	inf	0.58808	0.3667		0.8866	0.0028	0.59804	1.6852	0.003	-0.10975	0.9907		0.9361	0.0031	-0.080982	5.0
('555939 284', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	625.0	inf	0.51367	0.41788		0.9441	0.0026	0.55192	5.0	0.0027	-0.042893	0.89868		0.9466	0.0026	0.035995	5.0
('555940 285', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	1250.0	0.0163	0.42039	0.48461		0.9851	0.0051	0.43852	1.8104	0.0049	-0.10304	0.91977		0.9845	0.0053	-0.068827	1.8505
('555941 286', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	2500.0	0.0891	0.47369	0.4267		0.9898	0.0068	0.48299	1.3149	0.0064	-0.05748	0.85775		0.9896	0.0068	-0.038094	1.3322
('555942 287', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 7')	5000.0	inf	0.58482	0.34484		0.9843	0.0108	0.56065	2.0754	0.0285	0.46853	0.44593		0.9778	0.011	0.4304	2.0828
('555943 288', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 8')	156.25	inf	0.62859	0.084325		0.9397	0.9707	0.61756	1.1365	14.5868	0.50103	0.1165		0.9587	1.1539	0.4669	1.0703
